to,from,weight
Sweden,Malta,1
Sweden,Croatia,2
Sweden,Czechia,3
Sweden,Denmark,6
Sweden,Norway,10
Sweden,Slovenia,1
Sweden,Moldova,8
Sweden,Greece,1
Sweden,Estonia,1
Sweden,Iceland,7
Sweden,Poland,2
Sweden,Cyprus,1
Sweden,Lithuania,1
Sweden,Serbia,5
Ukraine,United Kingdom,6
Ukraine,Luxembourg,7
Ukraine,Azerbaijan,8
Ukraine,San Marino,10
Ukraine,Malta,12
Ukraine,Croatia,8
Ukraine,Albania,7
Ukraine,Czechia,12
Ukraine,Israel,10
Ukraine,Australia,6
Ukraine,Denmark,10
Ukraine,Spain,10
Ukraine,Norway,8
Ukraine,Germany,8
Ukraine,Armenia,3
Ukraine,Slovenia,8
Ukraine,Georgia,12
Ukraine,Switzerland,6
Ukraine,Moldova,12
Ukraine,Greece,3
Ukraine,Estonia,12
Ukraine,Netherlands,8
Ukraine,Austria,7
Ukraine,France,8
Ukraine,Italy,10
Ukraine,Finland,6
Ukraine,Portugal,10
Ukraine,Belgium,7
Ukraine,Iceland,5
Ukraine,Latvia,10
Ukraine,Ireland,8
Ukraine,Poland,12
Ukraine,Cyprus,8
Ukraine,Lithuania,12
Ukraine,Sweden,8
Ukraine,Rest of the World,10
Germany,Luxembourg,1
Germany,Israel,8
Germany,Switzerland,3
Germany,Austria,4
Germany,Iceland,2
Luxembourg,Israel,12
Luxembourg,France,3
Luxembourg,Belgium,1
Luxembourg,Rest of the World,4
Israel,United Kingdom,12
Israel,Luxembourg,12
Israel,Azerbaijan,7
Israel,San Marino,12
Israel,Malta,5
Israel,Albania,10
Israel,Czechia,10
Israel,Australia,12
Israel,Denmark,8
Israel,Spain,12
Israel,Norway,5
Israel,Germany,12
Israel,Armenia,1
Israel,Slovenia,10
Israel,Georgia,8
Israel,Switzerland,12
Israel,Moldova,10
Israel,Greece,7
Israel,Estonia,6
Israel,Netherlands,12
Israel,Austria,10
Israel,France,12
Israel,Italy,12
Israel,Finland,12
Israel,Portugal,12
Israel,Belgium,12
Israel,Iceland,8
Israel,Latvia,7
Israel,Ireland,10
Israel,Poland,5
Israel,Cyprus,10
Israel,Lithuania,3
Israel,Serbia,3
Israel,Sweden,12
Israel,Rest of the World,12
Lithuania,Ukraine,7
Lithuania,United Kingdom,8
Lithuania,Luxembourg,4
Lithuania,San Marino,1
Lithuania,Czechia,1
Lithuania,Denmark,1
Lithuania,Spain,1
Lithuania,Norway,3
Lithuania,Germany,2
Lithuania,Estonia,4
Lithuania,Netherlands,1
Lithuania,Iceland,4
Lithuania,Latvia,8
Lithuania,Ireland,7
Lithuania,Poland,3
Lithuania,Sweden,3
Spain,France,2
Spain,Italy,1
Spain,Finland,3
Spain,Portugal,3
Spain,Ireland,2
Estonia,Ukraine,4
Estonia,Croatia,4
Estonia,Finland,7
Estonia,Latvia,12
Estonia,Lithuania,6
Ireland,Ukraine,8
Ireland,United Kingdom,10
Ireland,Azerbaijan,4
Ireland,San Marino,2
Ireland,Malta,4
Ireland,Croatia,5
Ireland,Czechia,6
Ireland,Australia,8
Ireland,Denmark,3
Ireland,Spain,7
Ireland,Norway,4
Ireland,Germany,1
Ireland,Armenia,2
Ireland,Slovenia,2
Ireland,Georgia,4
Ireland,Moldova,2
Ireland,Greece,2
Ireland,Estonia,2
Ireland,Netherlands,6
Ireland,Austria,2
Ireland,Italy,3
Ireland,Finland,5
Ireland,Portugal,5
Ireland,Belgium,2
Ireland,Iceland,3
Ireland,Latvia,3
Ireland,Poland,6
Ireland,Cyprus,2
Ireland,Lithuania,5
Ireland,Serbia,7
Ireland,Sweden,4
Ireland,Rest of the World,7
Latvia,Ukraine,5
Latvia,United Kingdom,4
Latvia,Denmark,4
Latvia,Norway,2
Latvia,Georgia,1
Latvia,Estonia,3
Latvia,Ireland,5
Latvia,Lithuania,4
Greece,United Kingdom,1
Greece,Luxembourg,5
Greece,Azerbaijan,1
Greece,San Marino,7
Greece,Malta,2
Greece,Albania,4
Greece,Czechia,2
Greece,Australia,3
Greece,Spain,2
Greece,Germany,5
Greece,Armenia,10
Greece,Georgia,2
Greece,Switzerland,4
Greece,Moldova,3
Greece,Netherlands,4
Greece,France,1
Greece,Italy,2
Greece,Belgium,4
Greece,Cyprus,12
Greece,Serbia,8
Greece,Rest of the World,3
Norway,Ukraine,3
Norway,Finland,1
Italy,Luxembourg,3
Italy,Azerbaijan,3
Italy,San Marino,3
Italy,Malta,8
Italy,Croatia,7
Italy,Albania,8
Italy,Israel,7
Italy,Spain,4
Italy,Germany,3
Italy,Armenia,6
Italy,Slovenia,3
Italy,Georgia,3
Italy,Switzerland,8
Italy,Moldova,4
Italy,Greece,4
Italy,Netherlands,2
Italy,Austria,1
Italy,France,4
Italy,Portugal,4
Italy,Belgium,3
Italy,Ireland,1
Italy,Poland,4
Italy,Cyprus,3
Italy,Lithuania,2
Italy,Serbia,4
Italy,Sweden,1
Italy,Rest of the World,1
Serbia,Malta,3
Serbia,Croatia,12
Serbia,Albania,2
Serbia,Slovenia,5
Serbia,Switzerland,5
Serbia,Austria,5
Finland,Ukraine,2
Finland,United Kingdom,3
Finland,Australia,4
Finland,Denmark,2
Finland,Norway,1
Finland,Estonia,8
Finland,Iceland,1
Finland,Latvia,1
Finland,Ireland,3
Finland,Poland,1
Finland,Sweden,5
Portugal,Luxembourg,6
Portugal,Switzerland,2
Portugal,France,5
Armenia,Ukraine,1
Armenia,Croatia,3
Armenia,Albania,1
Armenia,Czechia,5
Armenia,Israel,6
Armenia,Australia,1
Armenia,Spain,3
Armenia,Germany,4
Armenia,Georgia,10
Armenia,Switzerland,1
Armenia,Moldova,1
Armenia,Greece,5
Armenia,Netherlands,3
Armenia,Austria,3
Armenia,France,10
Armenia,Italy,4
Armenia,Portugal,2
Armenia,Belgium,5
Armenia,Latvia,2
Armenia,Cyprus,4
Armenia,Serbia,1
Armenia,Sweden,2
Armenia,Rest of the World,5
Cyprus,Azerbaijan,6
Cyprus,San Marino,4
Cyprus,Albania,5
Cyprus,Israel,1
Cyprus,Australia,5
Cyprus,Armenia,4
Cyprus,Slovenia,6
Cyprus,Greece,12
Cyprus,Portugal,1
Switzerland,Ukraine,12
Switzerland,United Kingdom,5
Switzerland,Luxembourg,2
Switzerland,Azerbaijan,10
Switzerland,San Marino,5
Switzerland,Malta,6
Switzerland,Croatia,1
Switzerland,Albania,3
Switzerland,Czechia,7
Switzerland,Australia,7
Switzerland,Denmark,5
Switzerland,Spain,6
Switzerland,Norway,6
Switzerland,Germany,7
Switzerland,Armenia,8
Switzerland,Slovenia,4
Switzerland,Georgia,7
Switzerland,Moldova,5
Switzerland,Greece,8
Switzerland,Estonia,7
Switzerland,Netherlands,7
Switzerland,Austria,8
Switzerland,France,6
Switzerland,Italy,7
Switzerland,Finland,8
Switzerland,Portugal,6
Switzerland,Belgium,6
Switzerland,Iceland,6
Switzerland,Latvia,4
Switzerland,Ireland,6
Switzerland,Poland,8
Switzerland,Cyprus,6
Switzerland,Lithuania,8
Switzerland,Serbia,6
Switzerland,Sweden,7
Switzerland,Rest of the World,6
Slovenia,Croatia,10
Slovenia,Serbia,2
Croatia,Ukraine,10
Croatia,United Kingdom,7
Croatia,Luxembourg,10
Croatia,Azerbaijan,12
Croatia,San Marino,8
Croatia,Malta,10
Croatia,Albania,12
Croatia,Czechia,8
Croatia,Israel,5
Croatia,Australia,10
Croatia,Denmark,12
Croatia,Spain,8
Croatia,Norway,12
Croatia,Germany,10
Croatia,Armenia,7
Croatia,Slovenia,12
Croatia,Georgia,5
Croatia,Switzerland,10
Croatia,Moldova,7
Croatia,Greece,6
Croatia,Estonia,10
Croatia,Netherlands,10
Croatia,Austria,12
Croatia,France,7
Croatia,Italy,8
Croatia,Finland,10
Croatia,Portugal,7
Croatia,Belgium,8
Croatia,Iceland,12
Croatia,Latvia,5
Croatia,Ireland,12
Croatia,Poland,10
Croatia,Cyprus,5
Croatia,Lithuania,10
Croatia,Serbia,12
Croatia,Sweden,10
Croatia,Rest of the World,8
Georgia,Azerbaijan,5
Georgia,Israel,4
Georgia,Armenia,5
Georgia,Italy,5
France,Ukraine,6
France,United Kingdom,2
France,Luxembourg,8
France,Azerbaijan,2
France,San Marino,6
France,Malta,7
France,Croatia,6
France,Albania,6
France,Czechia,4
France,Israel,2
France,Australia,2
France,Denmark,7
France,Spain,5
France,Norway,7
France,Germany,6
France,Armenia,12
France,Slovenia,7
France,Georgia,6
France,Switzerland,7
France,Moldova,6
France,Greece,10
France,Estonia,5
France,Netherlands,5
France,Austria,6
France,Italy,6
France,Finland,4
France,Portugal,8
France,Belgium,10
France,Iceland,10
France,Latvia,6
France,Ireland,4
France,Poland,7
France,Cyprus,7
France,Lithuania,7
France,Serbia,10
France,Sweden,6
France,Rest of the World,2
Austria,Israel,3
Austria,Finland,2
